"ID","DIVISION_NAME","LOCATION_DESCRIPTION","TYPE","long","lat","OBJECT","nn"
"TABL2073","COOMBS","FRED DALEY AVENUE ROAD MEDIAN","METAL",149.042975597885,-35.3133029298859,"Table",1
"TABL2074","COOMBS","FRED DALEY AVENUE ROAD MEDIAN","METAL",149.043474639493,-35.3126380052292,"Table",1
"TABL2075","GREENWAY","TUGGERANONG TOWN PARK","METAL",149.064719569078,-35.4106482426534,"Table",1
"TABL2076","GREENWAY","TUGGERANONG TOWN PARK","METAL",149.064809314596,-35.4107195553376,"Table",1
"TABL2077","GREENWAY","TUGGERANONG TOWN PARK","METAL",149.065050121654,-35.4101978008583,"Table",1
"TABL924","CASEY","YEEND AVENUE NEIGHBOURHOOD PARK","METAL",149.097334002125,-35.1664921191502,"Table",1
"TABL925","CASEY","YEEND AVENUE NEIGHBOURHOOD PARK","METAL",149.097231903469,-35.1665270082368,"Table",1
"TABL926","CASEY","YEEND AVENUE NEIGHBOURHOOD PARK","METAL",149.09729878442,-35.166596588095,"Table",1
"TABL932","FORDE","PAHLMAN STREET NEIGHBOURHOOD PARK","PLASTIC",149.146538698392,-35.1681424032689,"Table",1
"TABL933","FORDE","PAHLMAN STREET NEIGHBOURHOOD PARK","PLASTIC",149.14656248863,-35.1681786339907,"Table",1
"TABL927","YARRALUMLA","MARINER PLACE - PEDESTRIAN PARKLAND","METAL",149.117616068,-35.2986405314857,"Table",1
"TABL934","BELCONNEN","LAKE GINNINDERRA WESTERN FORESHORES","METAL",149.063220681652,-35.2256116306048,"Table",1
"TABL935","BELCONNEN","LAKE GINNINDERRA WESTERN FORESHORES","METAL",149.063273218073,-35.2256106698924,"Table",1
"TABL930","MACGREGOR","CLYDE FINLAY STREET NEIGHBOURHOOD PARK","TIMBER",149.002066393781,-35.2085405637912,"Table",1
"TABL931","MACGREGOR","CLYDE FINLAY STREET NEIGHBOURHOOD PARK","TIMBER",149.002103294435,-35.2085407755826,"Table",1
"TABL928","YARRALUMLA","MARINER PLACE - PEDESTRIAN PARKLAND","METAL",149.117063014414,-35.2986750908694,"Table",1
"TABL929","YARRALUMLA","MARINER PLACE - PEDESTRIAN PARKLAND","METAL",149.117969199678,-35.298681991977,"Table",1
"TABL2080","MONCRIEFF","MIRRABEI DRIVE PEDESTRIAN PARKLAND","METAL",149.115358927299,-35.1553899748763,"Table",1
"TABL2081","MONCRIEFF","MIRRABEI DRIVE PEDESTRIAN PARKLAND","METAL",149.115387873988,-35.1554278439332,"Table",1
"TABL2065","WRIGHT","PETER CULLEN WAY NEIGHBOURHOOD PARK","METAL",149.032438492438,-35.3238835054584,"Table",1
"TABL2066","WRIGHT","DOT BUTLER STREET NEIGHBOURHOOD PARK","METAL",149.03715705894,-35.3244116847401,"Table",1
"TABL2067","WRIGHT","DOT BUTLER STREET NEIGHBOURHOOD PARK","METAL",149.037989970633,-35.3247420807069,"Table",1
"TABL2068","WRIGHT","DUNPHY STREET PEDESTRIAN PARKLAND","METAL",149.038700419339,-35.3237223790722,"Table",1
"TABL2069","WRIGHT","DOT BUTLER STREET NEIGHBOURHOOD PARK","METAL",149.036823234552,-35.3244913769823,"Table",1
"TABL2060","YARRALUMLA","WESTON PARK","METAL",149.090300829077,-35.2916311685118,"Table",1
"TABL2061","YARRALUMLA","WESTON PARK","METAL",149.090257472113,-35.2919372821361,"Table",1
"TABL877","FRANKLIN","ELIZABETH JOLLEY CRESCENT NEIGHBOURHOOD PARK","METAL",149.145531771307,-35.1887248492609,"Table",1
"TABL878","FRANKLIN","ELIZABETH JOLLEY CRESCENT NEIGHBOURHOOD PARK","METAL",149.145570033961,-35.1887251925011,"Table",1
"TABL2136","MONCRIEFF","BON SCOTT CRESCENT CRIP PARK","METAL",149.121113313171,-35.1552074851616,"Table",1
"TABL2134","MONCRIEFF","BON SCOTT CRESCENT CRIP PARK","METAL",149.121153056559,-35.1551781192103,"Table",1
"TABL2135","MONCRIEFF","BON SCOTT CRESCENT CRIP PARK","METAL",149.121111677994,-35.1551575754914,"Table",1
"TABL2137","MONCRIEFF","BON SCOTT CRESCENT CRIP PARK","METAL",149.121149105842,-35.1552537395487,"Table",1
"TABL2138","MONCRIEFF","BON SCOTT CRESCENT CRIP PARK","METAL",149.12156669868,-35.1551747816708,"Table",1
"TABL2139","MONCRIEFF","BON SCOTT CRESCENT CRIP PARK","METAL",149.121552942842,-35.1552087788294,"Table",1
"TABL2105","KINGSTON","GILES STREET ROAD VERGE","TIMBER",149.146615666778,-35.3128740247931,"Table",1
"TABL2106","KINGSTON","GILES STREET ROAD VERGE","TIMBER",149.146672186048,-35.3128519217414,"Table",1
"TABL2107","KINGSTON","GILES STREET ROAD VERGE","TIMBER",149.146726854159,-35.3128321016501,"Table",1
"TABL2108","KINGSTON","GILES STREET ROAD VERGE","TIMBER",149.146806793517,-35.31281609852,"Table",1
"TABL2109","KINGSTON","EYRE STREET PEDESTRIAN PARKLAND","METAL",149.147031077903,-35.3130396975358,"Table",1
"TABL2110","KINGSTON","EYRE STREET PEDESTRIAN PARKLAND","METAL",149.147058278505,-35.3130881136565,"Table",1
"TABL2111","KINGSTON","EYRE STREET PEDESTRIAN PARKLAND","METAL",149.147105003228,-35.3131678557496,"Table",1
"TABL2112","KINGSTON","EYRE STREET PEDESTRIAN PARKLAND","METAL",149.147294699772,-35.3134965093579,"Table",1
"TABL259","YARRALUMLA","MARINER PLACE - PEDESTRIAN PARKLAND","CONCRETE",149.120320379224,-35.3000591613106,"Table",1
"TABL260","YARRALUMLA","MARINER PLACE - PEDESTRIAN PARKLAND","TIMBER",149.120633550618,-35.3000498611394,"Table",1
