stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding
1183,,Woodcock Dr opp Clare Dennis Av,-35.441692,149.086154,,,0,0
1184,,Clare Dennis Av before Armbruster St,-35.443044,149.085974,,,0,0
1185,,Clare Dennis Av before 1st Fred Ln Cr,-35.445159,149.0878,,,0,0
1186,,Clare Dennis Av before 2nd Fred Ln Cr,-35.446768,149.086077,,,0,0
1187,,Clare Dennis Av before Preddey Way,-35.447089,149.08384,,,0,0
1188,,Lewis Luxton Av after Preddy Way,-35.448402,149.086122,,,0,0
1189,,Lewis Luxton Av opp Blinkhorn Pl,-35.450436,149.08909,,,0,0
1190,,Lewis Luxton Av opp 2nd Cerutty Cr,-35.452903,149.08797,,,0,0
1191,,Knoke Av opp Gordon PS,-35.458121,149.086118,,,0,0
1192,,Knoke Av before Oxenham Cct,-35.460578,149.085659,,,0,0
1193,,Knoke Av after Jim Pike Av,-35.462281,149.083208,,,0,0
1194,,Jim Pike Av before Clem Hill St,-35.462016,149.079911,,,0,0
1195,,Callaway Cr at 1st Myles Connell Cr,-35.459068,149.080047,,,0,0
1196,,39 Callaway Cr,-35.460036,149.081737,,,0,0
1197,,Bugden Av after 2nd Chataway Cr,-35.398638,149.117563,,,0,0
1198,,Bugden Av opp 1st Chataway Cr,-35.398045,149.118252,,,0,0
1199,,Knoke Av after Clem Hill St,-35.464786,149.084188,,,0,0
1200,,Knoke Av after 2nd Harry Hopman Cct,-35.467259,149.087641,,,0,0
1201,,Knoke Av after 1st Harry Hopman Cct,-35.472807,149.089281,,,0,0
1202,,Pockett Av after Bellchambers Cr,-35.474078,149.093168,,,0,0
1203,,Pockett Av after Wilson Cr,-35.471702,149.096924,,,0,0
1204,,Pockett Av after 2nd Ironbark Cr,-35.469475,149.097634,,,0,0
1205,,Pockett Av after Perrin Cct,-35.467558,149.095362,,,0,0
1206,,Pockett Av before Thomas Hart St,-35.46528,149.094099,,,0,0
1207,,Tom Roberts Av before Box Hill Av,-35.463823,149.096494,,,0,0
1208,,Tom Roberts Av opp Charles Conder PS,-35.465324,149.098411,,,0,0
1210,,Tom Roberts Av before Jane Sutherland St,-35.466303,149.105607,,,0,0
1211,,Tom Roberts Av before 1st Templestowe Av,-35.462228,149.105193,,,0,0
1212,,Tom Roberts Av opp John Russell Cct,-35.461222,149.102208,,,0,0
1213,,Tom Roberts Av after Box Hill Av,-35.460419,149.099253,,,0,0
1214,,Tom Roberts Av after 1st Beaumaris St,-35.466403,149.10042,,,0,0
1215,,Box Hill Av opp Lanyon Marketplace,-35.456171,149.092495,,,0,0
1216,,Box Hill Av opp St Clare of Assisi PS,-35.457716,149.097362,,,0,0
1217,,Lanyon Marketplace Box Hill Av,-35.456354,149.092463,,,0,0
1218,,St Clare of Assisi PS Box Hill Av,-35.457981,149.097464,,,0,0
1219,,Tom Roberts Av before Box Hill Av,-35.46047,149.099015,,,0,0
1220,,Tom Roberts Av before Altson Cct,-35.461297,149.10181,,,0,0
1221,,Tom Roberts Av before Lethbridge St,-35.462199,149.104985,,,0,0
1223,,Charles Conder PS Tom Roberts Av,-35.464854,149.097978,,,0,0
1224,,Pockett Av before Box Hill Av,-35.464987,149.093953,,,0,0
1225,,Pockett Av before 2nd Tregellas Cr,-35.46759,149.095269,,,0,0
1226,,Pockett Av opp Wiburd St,-35.470394,149.097662,,,0,0
1227,,Banks Shops Pockett Av,-35.472431,149.095951,,,0,0
1228,,Pockett Av before Brockway Cct,-35.473497,149.091731,,,0,0
1229,,Knoke Av after Coventry Cl,-35.472849,149.089454,,,0,0
1230,,Knoke Av after Minnett Cl,-35.470765,149.088898,,,0,0
1231,,Knoke Av opp O'Hara Cl,-35.470876,149.088786,,,0,0
1232,,Knoke Av before 2nd Mina Wylie Cr,-35.467176,149.087682,,,0,0
1233,,Knoke Av before Matson St,-35.46567,149.085585,,,0,0
1234,,Knoke Av opp Jim Pike Av,-35.461984,149.083647,,,0,0
1235,,Knoke Av after Midge St,-35.460663,149.085728,,,0,0
1237,,Lewis Luxton Av before 1st Cerutty Cr,-35.452995,149.087346,,,0,0
1238,,Lewis Luxton Av before Blinkhorn Pl,-35.450896,149.089342,,,0,0
1239,,61 Lewis Luxton Av,-35.448733,149.087143,,,0,0
1240,,Preddy Way at Fingleton Cr,-35.448164,149.084205,,,0,0
1241,,Clare Dennis Av before 2nd Noel Ryan Gdn,-35.446543,149.085447,,,0,0
1242,,Clare Dennis Av opp Churchill Way,-35.444641,149.087167,,,0,0
1243,,Clare Dennis Av after Woodfull Lp,-35.44312,149.085845,,,0,0
1246,,Cooleman Court Terminus,-35.340842,149.052341,,,0,0
1248,,Streeton Dr before 1st Fremantle Dr,-35.34468,149.047096,,,0,0
1249,,Streeton Dr before Hindmarsh Dr,-35.344613,149.047036,,,0,0
1250,,Fremantle Dr after Streeton Dr,-35.346407,149.046936,,,0,0
1251,,Fremantle Dr before Streeton Dr,-35.3466,149.047038,,,0,0
1252,,Fremantle Dr before Bunbury St,-35.348284,149.049235,,,0,0
1253,,Fremantle Dr opp 1st McKail Cr,-35.34736,149.048194,,,0,0
1258,,Namatjira Dr opp St John Vianney,-35.352146,149.053761,,,0,0
1259,,Namatjira Dr after Streeton Dr,-35.355188,149.050493,,,0,0
1260,,St John Vianney Namatjira Dr,-35.351922,149.05415,,,0,0
1261,,Tom Roberts Av after Wiburd St,-35.466561,149.100512,,,0,0
1262,,Wiburd St before Pockett Av,-35.469931,149.098659,,,0,0
1263,,Namatjira Dr after Badimara St,-35.355115,149.050801,,,0,0
1264,,Namatjira Dr opp Perry Dr,-35.35848,149.047931,,,0,0
1265,,Namatjira Dr before Kapunda St,-35.360591,149.047806,,,0,0
1266,,Namatjira Dr opp 204,-35.363484,149.049719,,,0,0
1267,,241 Namatjira Dr,-35.366088,149.051516,,,0,0
1268,,Namatjira Dr opp 241,-35.366007,149.051368,,,0,0
1269,,Namatjira Dr after Perry Dr,-35.358207,149.047876,,,0,0
1270,,Namatjira Dr before Perry Dr,-35.360443,149.047657,,,0,0
1271,,204 Namatjira Dr,-35.363559,149.049614,,,0,0
1272,,Kambah Pool Rd after Sulwood Dr,-35.375136,149.048963,,,0,0
1273,,Kambah Pool Rd after Barritt St,-35.37534,149.048615,,,0,0
1274,,Barritt St after Kambah Pool Rd,-35.377991,149.048365,,,0,0
1275,,Barritt St before Kambah Pool Rd,-35.378093,149.048299,,,0,0
1276,,Barritt St before Boddington Cr,-35.380209,149.05186,,,0,0
1277,,Barritt St after Boddington Cr,-35.379861,149.051195,,,0,0
1278,,Boddington Cr before Barritt St,-35.381211,149.051777,,,0,0
1279,,Boddington Cr after Carleton St,-35.382091,149.051152,,,0,0
1280,,Boddington Cr opp Carleton St,-35.382089,149.051281,,,0,0
1281,,Boddington Cr before 1st Castley Cct,-35.385031,149.050564,,,0,0
1282,,Boddington Cr after 2nd Crozier Cct,-35.385778,149.050416,,,0,0
1283,,Boddington Cr after 2nd Castley Cct,-35.389283,149.051643,,,0,0
1284,,Boddington Cr after Bateman St,-35.389192,149.051368,,,0,0
1285,,Boddington Cr opp McLeod Pl,-35.390043,149.053656,,,0,0
1286,,Boddington Cr opp Broad Pl,-35.389199,149.056659,,,0,0
1287,,Boddington Cr after McLeod Pl,-35.390316,149.053797,,,0,0
1288,,Boddington Cr before Broad Pl,-35.389395,149.057158,,,0,0
1289,,O'Halloran Cct opp Boddington Cr,-35.390376,149.059036,,,0,0
1290,,O'Halloran Cct before Boddington Cr,-35.390364,149.058859,,,0,0
1291,,O'Halloran Cct after 2nd Springbett St,-35.392912,149.058194,,,0,0
1292,,O'Halloran Cct before 2nd McKillop Cct,-35.393119,149.058008,,,0,0
1293,,O'Halloran Cct before 1st Snodgrass Cr,-35.395622,149.059255,,,0,0
1294,,O'Halloran Cct opp 2nd Snodgrass Cr,-35.395814,149.059279,,,0,0
1295,,O'Halloran Cct before Vansittart Cr,-35.39579,149.062886,,,0,0
1296,,O'Halloran Cct after Vansittart Cr,-35.395919,149.062892,,,0,0
1297,,O'Halloran Cct before Ashby Cct,-35.394099,149.065924,,,0,0
1298,,O'Halloran Cct opp Ashby Cct,-35.393972,149.065792,,,0,0
1299,,O'Halloran Cct opp Namadgi School,-35.393073,149.067676,,,0,0
13,,Tuggeranong Interchange Arrivals,-35.414955,149.06608,,https://www.transport.act.gov.au/__data/assets/pdf_file/0013/1244200/TC_station_tuggeranong.pdf,0,0
1300,,Namadgi School O'Halloran Cct,-35.392579,149.068207,,,0,0
1301,,Summerland Cct after Vanzetti Cr,-35.391096,149.071581,,,0,0
1302,,Summerland Cct before 1st Kingsmill St,-35.390979,149.071495,,,0,0
1303,,Summerland Cct before 2nd Kingsmill St,-35.390028,149.073554,,,0,0
1304,,Summerland Cct after Livingston Av,-35.390173,149.073483,,,0,0
1319,,Wheeler Cr before Wanniassa HS,-35.394195,149.084369,,,0,0
1320,,St Anthonys PS Wheeler Cr,-35.394895,149.080012,,,0,0
1321,,Wheeler Cr after Wanniassa HS,-35.394279,149.08497,,,0,0
1322,,Wheeler Cr opp St Anthonys PS,-35.394982,149.079947,,,0,0
1323,,Fincham Cr after Morrissey St,-35.39616,149.078911,,,0,0
