"stopID","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","wheelchair_boarding","index","dist","ID","DIVISION_CODE","DIVISION_NAME","LAST_UPDATE_DATE","OBJECTID"
1093,NA,"Johnson Dr Opp Calwell Park & Ride",-35.43321,149.112594,NA,"",0,0,84,0,87,607,"RICHARDSON","1999/02/19 09:47:44+00",84
1094,NA,"St Francis of Assisi PS Casey Cr",-35.441065,149.118881,NA,"",0,0,72,0,74,611,"CALWELL","1999/02/19 09:47:44+00",72
1095,NA,"Were St before Tharwa Dr",-35.440384,149.12072,NA,"",0,0,72,0,74,611,"CALWELL","1999/02/19 09:47:44+00",72
1096,NA,"Were St after Tharwa Dr",-35.440535,149.120676,NA,"",0,0,72,0,74,611,"CALWELL","1999/02/19 09:47:44+00",72
1109,NA,"Louis Loder St at 1st Vonwiller Cr",-35.445646,149.116782,NA,"",0,0,85,0,88,610,"THEODORE","1999/02/19 09:47:44+00",85
1110,NA,"Louis Loder St before 2nd Hartung Cr",-35.445576,149.11667,NA,"",0,0,85,0,88,610,"THEODORE","1999/02/19 09:47:44+00",85
1111,NA,"Louis Loder St after 2nd Mehaffey Cr",-35.446537,149.114521,NA,"",0,0,85,0,88,610,"THEODORE","1999/02/19 09:47:44+00",85
1112,NA,"Louis Loder St opp 1st Hartung Cr",-35.446523,149.114891,NA,"",0,0,85,0,88,610,"THEODORE","1999/02/19 09:47:44+00",85
1113,NA,"Louis Loder St after 1st Cochrane Cr",-35.44801,149.115224,NA,"",0,0,85,0,88,610,"THEODORE","1999/02/19 09:47:44+00",85
1114,NA,"44 Louis Loder St",-35.448128,149.115262,NA,"",0,0,85,0,88,610,"THEODORE","1999/02/19 09:47:44+00",85
1115,NA,"Louis Loder St before 2nd Vonwiller Cr",-35.450545,149.117412,NA,"",0,0,85,0,88,610,"THEODORE","1999/02/19 09:47:44+00",85
1116,NA,"Louis Loder St at 2nd Conlon Cr",-35.450595,149.117269,NA,"",0,0,85,0,88,610,"THEODORE","1999/02/19 09:47:44+00",85
1117,NA,"Clift Cr before Johnson Dr",-35.43325,149.118429,NA,"",0,0,84,0,87,607,"RICHARDSON","1999/02/19 09:47:44+00",84
1118,NA,"Clift Cr after Johnson Dr",-35.433112,149.118228,NA,"",0,0,84,0,87,607,"RICHARDSON","1999/02/19 09:47:44+00",84
1119,NA,"Clift Cr after 2nd Chauncy Cr",-35.431157,149.119171,NA,"",0,0,84,0,87,607,"RICHARDSON","1999/02/19 09:47:44+00",84
1120,NA,"Clift Cr after 1st Fullerton Cr",-35.431117,149.119349,NA,"",0,0,84,0,87,607,"RICHARDSON","1999/02/19 09:47:44+00",84
1121,NA,"Deamer Cr before Meeson St",-35.429241,149.121439,NA,"",0,0,73,0,75,609,"CHISHOLM","1999/02/19 09:47:44+00",73
1122,NA,"Deamer Cr before Clift Cr",-35.429355,149.120942,NA,"",0,0,84,0,87,607,"RICHARDSON","1999/02/19 09:47:44+00",84
1123,NA,"Deamer Cr before 2nd Twamley Cr",-35.430849,149.123538,NA,"",0,0,84,0,87,607,"RICHARDSON","1999/02/19 09:47:44+00",84
1124,NA,"Deamer Cr opp 1st Twamley Cr",-35.430915,149.123421,NA,"",0,0,84,0,87,607,"RICHARDSON","1999/02/19 09:47:44+00",84
1125,NA,"69 Deamer Cr",-35.431494,149.127065,NA,"",0,0,84,0,87,607,"RICHARDSON","1999/02/19 09:47:44+00",84
1126,NA,"Deamer Cr opp 69",-35.431724,149.126983,NA,"",0,0,84,0,87,607,"RICHARDSON","1999/02/19 09:47:44+00",84
1127,NA,"Deamer Cr opp 1st Nina Jones Cr",-35.429424,149.128794,NA,"",0,0,73,0,75,609,"CHISHOLM","1999/02/19 09:47:44+00",73
1128,NA,"Deamer Cr after 2nd Nina Jones Cr",-35.429786,149.128673,NA,"",0,0,84,0,87,607,"RICHARDSON","1999/02/19 09:47:44+00",84
1129,NA,"Deamer Cr after Heagney Cr",-35.427319,149.129802,NA,"",0,0,73,0,75,609,"CHISHOLM","1999/02/19 09:47:44+00",73
1130,NA,"Deamer Cr before Heagney Cr",-35.427189,149.129613,NA,"",0,0,73,0,75,609,"CHISHOLM","1999/02/19 09:47:44+00",73
1131,NA,"Heagney Cr before Deamer Cr",-35.426486,149.130996,NA,"",0,0,73,0,75,609,"CHISHOLM","1999/02/19 09:47:44+00",73
1132,NA,"Heagney Cr opp Deamer Cr",-35.426567,149.130245,NA,"",0,0,73,0,75,609,"CHISHOLM","1999/02/19 09:47:44+00",73
1133,NA,"Heagney Cr before 2nd Couchman Cr",-35.424588,149.133212,NA,"",0,0,73,0,75,609,"CHISHOLM","1999/02/19 09:47:44+00",73
1134,NA,"Heagney Cr before Enid Lorimer Cct",-35.424695,149.133027,NA,"",0,0,73,0,75,609,"CHISHOLM","1999/02/19 09:47:44+00",73
1135,NA,"Heagney Cr before 1st Couchman Cr",-35.423045,149.13492,NA,"",0,0,73,0,75,609,"CHISHOLM","1999/02/19 09:47:44+00",73
1136,NA,"Heagney Cr after Enid Lorimer Cct",-35.423025,149.13453,NA,"",0,0,73,0,75,609,"CHISHOLM","1999/02/19 09:47:44+00",73
1137,NA,"Heagney Cr after 1st Henry Melville Cr",-35.421379,149.135994,NA,"",0,0,76,0,78,608,"GILMORE","1999/02/19 09:47:44+00",76
1138,NA,"Heagney Cr after 2nd Emily Bulcock Cr",-35.420927,149.136018,NA,"",0,0,76,0,78,608,"GILMORE","1999/02/19 09:47:44+00",76
1139,NA,"Heagney Cr opp Gilmore PS",-35.419229,149.136097,NA,"",0,0,76,0,78,608,"GILMORE","1999/02/19 09:47:44+00",76
1140,NA,"Gilmore PS Heagney Cr",-35.419093,149.135985,NA,"",0,0,76,0,78,608,"GILMORE","1999/02/19 09:47:44+00",76
1143,NA,"Proctor St opp Maclean St",-35.415211,149.12515,NA,"",0,0,73,0,75,609,"CHISHOLM","1999/02/19 09:47:44+00",73
1144,NA,"Proctor St after MacLean St",-35.415327,149.125257,NA,"",0,0,73,0,75,609,"CHISHOLM","1999/02/19 09:47:44+00",73
1147,NA,"Chisholm Shops Benham St",-35.414421,149.129066,NA,"",0,0,73,0,75,609,"CHISHOLM","1999/02/19 09:47:44+00",73
1148,NA,"Benham St opp Chisholm Shops",-35.414484,149.129233,NA,"",0,0,73,0,75,609,"CHISHOLM","1999/02/19 09:47:44+00",73
1149,NA,"Coyne St before Carson St",-35.409005,149.127953,NA,"",0,0,81,0,84,606,"MACARTHUR","1999/02/19 09:47:44+00",81
1150,NA,"Coyne St opp Carson St",-35.409158,149.127772,NA,"",0,0,75,0,77,605,"FADDEN","1999/02/19 09:47:44+00",75
1151,NA,"19 Coyne St",-35.409167,149.123106,NA,"",0,0,75,0,77,605,"FADDEN","1999/02/19 09:47:44+00",75
1152,NA,"Coyne St opp 19",-35.409226,149.122726,NA,"",0,0,75,0,77,605,"FADDEN","1999/02/19 09:47:44+00",75
1153,NA,"Bugden Av before 2nd Larcombe Cr",-35.406964,149.120433,NA,"",0,0,75,0,77,605,"FADDEN","1999/02/19 09:47:44+00",75
1154,NA,"Bugden Av before Coyne St",-35.406757,149.120472,NA,"",0,0,75,0,77,605,"FADDEN","1999/02/19 09:47:44+00",75
1155,NA,"Bugden Av before 2nd Demaine Cr",-35.404229,149.122455,NA,"",0,0,75,0,77,605,"FADDEN","1999/02/19 09:47:44+00",75
1156,NA,"Bugden Av after Fihelly St",-35.404353,149.121963,NA,"",0,0,75,0,77,605,"FADDEN","1999/02/19 09:47:44+00",75
1157,NA,"Bugden Av before 1st Mullan St",-35.402395,149.124135,NA,"",0,0,75,0,77,605,"FADDEN","1999/02/19 09:47:44+00",75
1158,NA,"Bugden Av opp 2nd Mullan St",-35.401231,149.123513,NA,"",0,0,75,0,77,605,"FADDEN","1999/02/19 09:47:44+00",75
1159,NA,"Bugden Av after 2nd Mullan St",-35.398518,149.122122,NA,"",0,0,75,0,77,605,"FADDEN","1999/02/19 09:47:44+00",75
1160,NA,"Bugden Av opp 309",-35.398621,149.122257,NA,"",0,0,75,0,77,605,"FADDEN","1999/02/19 09:47:44+00",75
1161,NA,"Bugden Av after 1st Dash Cr",-35.400242,149.115685,NA,"",0,0,75,0,77,605,"FADDEN","1999/02/19 09:47:44+00",75
