"CREATED_DATE","SPECIES","LATITUDE","LONGITUDE","index","dist","ID","DIVISION_CODE","DIVISION_NAME","LAST_UPDATE_DATE","OBJECTID","date","hour","moment","month","day","year","month_word","day_word","week","time_hour","pod","speciesGroup"
"07/15/2018 07:59:00 PM","EASTERN GREY KANGAROO",-35.42486125,149.0750476,71,0,73,619,"BONYTHON","1999/02/19 09:47:44+00",71,"07/15/2018","07:59:00","PM",7,15,2018,"July","Sunday",29,19,"Evening","Mammal"
"08/26/2020 05:22:00 PM","EASTERN GREY KANGAROO",-35.31860247,149.0686419,96,0,99,328,"CURTIN","1999/02/19 09:46:25+00",96,"08/26/2020","05:22:00","PM",8,26,2020,"August","Wednesday",35,17,"Afternoon","Mammal"
"06/24/2016 07:45:00 AM","EASTERN GREY KANGAROO",-35.21878094,149.1808589,69,1288.07230838523,70,125,"WATSON","1999/02/19 09:45:39+00",69,"06/24/2016","07:45:00","AM",6,24,2016,"June","Friday",26,7,"Morning","Mammal"
"03/20/2017 08:24:00 PM","EASTERN GREY KANGAROO",-35.44515855,149.1371577,85,848.175435850211,88,610,"THEODORE","1999/02/19 09:47:44+00",85,"03/20/2017","08:24:00","PM",3,20,2017,"March","Monday",12,20,"Evening","Mammal"
"08/22/2016 01:18:00 PM","EASTERN GREY KANGAROO",-35.27871798,149.0844597,60,1754.68331382731,58,212,"YARRALUMLA","1999/02/19 09:46:25+00",60,"08/22/2016","01:18:00","PM",8,22,2016,"August","Monday",34,13,"Noon","Mammal"
"07/28/2018 08:04:00 AM","EASTERN GREY KANGAROO",-35.2793794,149.1445742,57,0,55,109,"REID","1999/02/19 09:45:39+00",57,"07/28/2018","08:04:00","AM",7,28,2018,"July","Saturday",31,8,"Morning","Mammal"
"02/10/2020 09:00:00 AM","EASTERN GREY KANGAROO",-35.32713423,149.0923905,99,0,102,327,"HUGHES","1999/02/19 09:46:25+00",99,"02/10/2020","09:00:00","AM",2,10,2020,"February","Monday",7,9,"Morning","Mammal"
"08/21/2018 09:33:00 PM","EASTERN GREY KANGAROO",-35.32512717,149.1349587,49,0,47,220,"GRIFFITH","1999/02/19 09:46:25+00",49,"08/21/2018","09:33:00","PM",8,21,2018,"August","Tuesday",34,21,"Night","Mammal"
"04/28/2016 09:01:00 PM","EASTERN GREY KANGAROO",-35.26580587,149.0744611,18,217.277562932856,14,557,"COOK","1999/02/19 09:47:11+00",18,"04/28/2016","09:01:00","PM",4,28,2016,"April","Thursday",18,21,"Night","Mammal"
"05/13/2018 11:04:00 AM","EASTERN GREY KANGAROO",-35.28433323,149.130495,43,0,629,108,"CITY","2010/10/20 12:10:54+00",43,"05/13/2018","11:04:00","AM",5,13,2018,"May","Sunday",20,11,"Noon","Mammal"
